amountRaised,campaignTitle,currencyType,endDate,goal,numberContributors,story,url
350,Kids in Venezuela need your help,Canadian Dollar,,of $4k goal,12,"Angels for Humanitarian Aid is a Canadian non-profit
  organization for international cooperation presided by me Carlos
  Andres Bromley, who aims to help needy communities in the areas of
  health and education Check Our Web site to see what we do. We are raising this money to help the kids at the JM de los Rios
    hospital in Venezuela, who need Hemodialysis catheters to be able to
    survive while following the Dialysis treatment.   As you can see
    below we have already provide one catheter to the hospital for Daniel Laya a 1
    year old kid and we have bought a second one for Greiber Cuences a 7
    years old kid, which is on his way to Venezuela. We have contact with the Nephrology department of the hospital
    to make sure the appropiate catheters are found depending on the
    specific cases received at the hospital, and we make sure this
    devices are given to the appropiate people, thanks to our
    ambassadors located in Venezuela. Please ser the second catheter donated to the hospital Please see the history below to have an idea of what is the
    current situation at this hospital. The information below has been
    retrieved from the following article: http://www.telegraph.co.uk/news/2016/03/25/inside-venezuelas-top-childrens-medical-unit-where-patients-are/ “ This is dangerous for you and for me. There’s a real climate of
    fear”, says the doctor as he sits nervously in a room off intensive
    care at the JM de Los Rios Children’s Hospital in Caracas. Dr Huniades Urbina is trying to expose the desperate shortage of
    drugs and medical supplies in what should be the best equipped
    paediatric unit in Venezuela, but he is taking a great risk. Huge numbers of medicines are now hard or impossible to find,
    from antibiotics and painkillers to anti-epilepsy and chemotherapy drugs. D r Urbina says the unit has gone back to methods and medications
    used decades ago, because of the shortages. Where once they had
    state of the art chemotherapy for cancer patients he says they now
    have to make do with lesser options. “Sometimes people die because
    of these shortages, even here in the best children’s intensive care
    unit in Venezuela”, he says Testing kits for blood and other disposables are also scarce.
    The hospital has taken to boiling and reusing items that are
    supposed to be for single-use. When challenged on the dangers of
    this Dr Urbina’s junior colleague Dr Alvarez agrees but says they
    have no choice” The intensive care unit is operating with a reduced number of
    beds. That is partly due to the shortages of supplies, and also
    because of the shortage of doctors. Around 10,000 are estimated to
    have left the country in recent years. “ We do our best to help because this is what makes sense
      to do in cases like this.",https://fundrazr.com/jmdelosrios
435,Team Ride to Give 2017,U.S. Dollar,,of $500 goal,8,"My name is George Abrams and I am apart of Ride to Give, which is a
  charity that raises money for families with children who are disabled,
  injured, or ill through triathlons.  The charity does great work
  helping those in need and I am very honored to work with, and be apart
  of, such a generous group of people.  I don't have any children of my
  own, and it brings me a lot of happiness to be able to help raise
  money for those in need.  My 2017 race schedule for Ride to Give
  includes Ironman Florida 70.3, Ironman Raleigh, and Ironman Augusta
  70.3.",https://fund.ridetogive.com/c1COmc
590,Ross' Pier to Paris Cycle Challenge,Pound Sterling,,of £250 goal,34,"CSMA Club will be cycling 333km over 3 days from Brighton Pier to
  Paris in support of Guide Dogs. Please donate and help us support the
  life changing work the Guide Dogs do A dog is man’s best friend, so the saying goes, and the relationship
  between an owner and their guide dog runs even deeper. These dogs
  not only offer the usual qualities of companionship and loyalty, but
  act as the eyes for their blind or partially-blind owner, too. Over two million people in the UK are living with sight loss, and
  it’s estimated that every hour someone else will lose their
  sight. For many, this can lead to isolation and research has shown
  that over two thirds of those living with blindness lack confidence to
  join in everyday activities, and as many as 170,000 rarely leave home alone. So the work of Guide Dogs, CSMA Club’s charity partner, is vital and
  life-changing. Since its formation in 1931, the charity has
  trained and partnered over 30,000 guide dogs, transforming the lives
  of their owners. At the moment, there are 4700 guide dog partnerships
  in the UK",https://fundrazr.com/czQve
"2,945","Duchity, Haiti Medical Mission",U.S. Dollar,,of $3k goal,37,"Over the years my dad, Dr. Tim Tyrrell and talented medical
      professionals travel to Duchity, Haiti as part of an ongoing
      medical mission to provide much needed medical care and supplies.
      This year, as part of my interests in international social work, I
      am fortunate to travel with this group and raise funds for their
      programs. You can help too! Support the medical mission by donating here on our
    Fundraising page. Your donations will go directly to the medical
    resources needed by the people of Duchity. We are very grateful to the health care professionals and
      volunteers who are donating their time, talent, and treasure to
      travel to Duchity, Haiti. The teams will be traveling April 2nd
      through 9th and 23rd through 30th.Thank you for your generous support. *St. Thomas the Apostle, OSJ Naperville, IL is recognized as exempt
  under Section 501(c)3 of the Internal Revenue Code and your
  contribution may qualify as a charitable deduction for federal income
  tax purposes.",https://fundrazr.com/c16MM5
"15,725",Ride to Give - Supporting Pray for Anna,U.S. Dollar,,of $15.7k goal,704,"7-year-old Annaston Cox of Altha, FL was born with a Congenital Heart
  Defect called Mitral Valve Prolapse with Insufficiency as well as
  Graves Disease. At the age of 3, she had her first open heart surgery
  to repair a valve, at Shands Children’s Hospital in Gainesville, FL.
  Just before she was taken back for surgery, Anna was given a shot of
  Ativan for separation anxiety, but within seconds she went limp and
  quit breathing. Anna had gone into anaphylactic shock and needed to be
  intubated. Thankfully Anna’s surgeons were able to stabilize her and
  proceed with repairing the valve. After surgery, Anna started gaining
  weight and truly living life to the fullest. She was just like any
  other child… she played t-ball, cheered for the county league football
  team, and competed with the Kitty Katz cheer competition squad up
  until March 2018 when everything changed. Last Winter, Anna started having severe headaches, high fevers,
  unexplained exhaustion, night sweats, and she refused to eat. She
  began to wake during the night screaming about head pain and became
  unable to walk or climb in or out of bed. Her parents, Ron and Tanya
  Cox, grew increasingly concerned and took Anna to her pediatrician
  several times. Blood was drawn twice a week for a month, along with
  frequent X-rays and CT scans but Anna’s doctors were stumped, saying
  it was either a blood disorder or autoimmune disease. Anna continued
  to suffer. At her wit's end, Tanya demanded answers, refusing to leave the
  pediatrician’s office until she got them. That same day, April 4,
  2018, Anna was admitted to Tallahassee Memorial Hospital where after
  even more testing they still had no definitive answers except that
  Anna might have an autoimmune disease, Meningitis or a bone marrow disorder. On April 7th, 2018, Anna was transferred by ambulance to the Cardiac
  ICU at Shand’s Children’s Hospital in Gainesville. A few hours after
  they arrived, the Cox were told that Anna had Infective Endocarditis;
  strep bacteria had entered her bloodstream and settled on her Mitral
  Valve. Anna was started on aggressive antibiotics, and numerous
  additional tests were run. When Anna’s eyes were checked, the doctor
  noticed that her optic nerves were swollen and her pupils didn’t react
  to light as they should, so an emergency MRI was ordered. While lying in the hospital bed comforting her daughter, a
    team of doctors came in and told Tanya that the MRI had shown
    several small blood clots on both sides of Anna’s brain and that she
    had already had a few “silent” strokes. The pressure from the blood
    clots explained why Anna’s optic nerves were swollen as well as her
    severe head pain. Then Tanya was told the devastating news that they
    had found an aneurysm on the back of her brain and in at that moment
    Tanya realized how truly sick Anna was and was heartbroken. Anna needed her infected valve replaced with a mechanical one, but
  the heart surgeon chose to wait because there was a strong chance of a
  major stroke if her aneurysm burst. Anna’s neurosurgeon was concerned
  because the bacteria was settled on the valve which was still
  producing blot clots. They knew any one of those clots could be fatal.
  The Cox were told without the heart valve replacement Anna would have
  a heart attack, but there was still a strong chance she could suffer a
  deadly stroke. Ronald and Tanya struggled with this decision for two
  weeks until a blot clot moved into Anna's lung and the decision was
  taken out of their hands. On May 1, 2018, Anna had open heart surgery, and her damaged heart
  valve was replaced with a mechanical valve. Thankfully the surgery
  went well, and the doctors were able to remove all the bacteria. In
  the days to follow, Anna was recovering so well that her doctors began
  discussing a discharge date to the step-down unit, but that all
  changed on May 5th, 2018 when Anna woke up around 3 am screaming for
  help. Tanya ran to the bedside and found Anna sitting straight up with
  her eyes fixed to the right and her arms and legs drawn up and rigid.
  Tanya's sweet daughter couldn't see and the head pain was unbearable. Tanya knew in her heart that Anna was having a stroke and just
    as the hospital staff rushed into the room, Anna went limp and quit
    breathing. After being stabilized, Anna had an emergency craniotomy to
  evacuate the hemorrhage that had caused the stroke. Because she had
  just had major heart surgery three days earlier, the neurosurgeon gave
  Anna 2% chance to live through the procedure. The Cox's were told that
  Anna would most likely never awaken following surgery because of the
  extensive damage to her brain. They said she would probably be in a
  coma and on a ventilator and have little to no quality of life. On June 11th, 2018, Anna was transferred to Brooks
    Rehabilitation for in-patient therapy but was discharged on June
    26th because she made little progress during her two weeks stay. So
    with no preparation and still waiting for Anna’s insurance to
    update, the Cox's brought their daughter home. The past two
  months have been emotionally, physically, and financially draining for
  Tanya, Ronald, and their three other children. They have had to travel
  roughly three hours each way from their home in Altha to Anna’s
  specialist, all with two-year-old Branson in toe. Ronald is the
  manager at Roadmart in Marianna, FL and while management has been very
  understanding, his frequent absences from work have had a negative
  impact on the family finances. Anna is almost three months post-surgery and still is unable to say
  any words, follow commands, or communicate. The neurosurgeon told the
  Cox family that sadly Anna’s overall long-term prognosis is poor, but
  Tanya and Ronald refuse to give up on their daughter. There are so
  many things that are needed for Anna that insurance has yet to approve
  or may not cover. The Cox's want to provide the best possible future
  for Anna, but without the necessary equipment, it has been
  challenging. What Anna really needs most is a wheelchair, a
    stander, and a special needs activity seat so she can do therapy at
    home as well as become more mobile. Also, at this time their
    insurance is not covering her tube feeding, so they have to cover
    the $800 a month cost of her supplies out of pocket as well. When Ride to Give read Anna story we knew we had to support
    Tanya and Ronald as they do their best to provide as bright a future
    as that can for their daughter. The funds we raise will
  help fill in the financial gaps while they await insurance decisions
  regarding Anna's equipment needs, her tube feeding supplies, and help
  cover the costs for now twice-weekly trip Gainesville to see Anna’s
  medical team. Please help Ride to Give as we support this sweet family
  by making a tax-deductible donation. You may follow Anna's journey by liking her Facebook page, Pray for Anna for updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has
      complete discretion and control over the use of all donated funds.
      Questions about how your donation is used can be answered by
        clicking here. Please
      visit Ride to Give on the web at www.ridetogive.com or on Facebook
      at www.facebook.com/ridetogive.",https://fund.ridetogive.com/81O70a
"3,410",Everyone deserves the best possible chance of life,Pound Sterling,,of £10k goal,111,"We are raising funds for Love Hope Trust, a charity created to
  support people with cancer that require treatments not available
  through the NHS, and that can't afford to pay themselves. This charity was set up by the friends and family of Rachel Carrack,
  who in her early thirties, and with two young children, was diagnosed
  with inoperable pancreatic cancer. Rachel is currently accessing a new and effective type of treatment
  in Germany...however, there are others who aren't in such a position
  to access such treatment. Love Hope Trust aims to address this gap and
  you can read more at http://www.lovehope-trust.org/ There are a variety of fundraising events planned including a psychic
  evening, people running marathons and half marathons and the Three
  Peaks Challenge on Saturday 20th June 2015. Please share with your friends, family and whoever else may be
  interested - last year, 33 intrepid adventurers took on the Three
  Peaks challenge and raised nearly £4000 for the NSPCC and Age UK. If
  you would like to give your friends a taste of what it's like, you can
  see the video of that event here: https://www.youtube.com/watch?v=L3KATXIz_iY Please give what you can and share this page. Everyone deserves the best possible chance of life; Love Hope Trust.",https://fundrazr.com/2zZud
530,Fully Loaded Movement,U.S. Dollar,,of $500 goal,9,"Our names are Leslie Hoddevik and Macey Gándara. We are the PE
  teachers at Chehalem Elementary and we have way too much fun teaching
  our 500 wonderful students together. We often have ideas that involve using a projector screen. Due to the
  nature of our gym and stage situation, we are unable to use a
  projector set-up because the chords would be a tripping hazard to
  students. We also would like to use a projector during the morning
  times to get the kids moving several days a week before classes begin. Therefore a rear facing projector screen with an Apple TV hooked up
  to the projector would be an amazing addition to our Physical
  Education program as well as a helpful tool for the whole school to
  use every day.  We would have a projector set-up behind the rear
  screen on the stage so no chords would be on the gym floor. We have
  access to iPads that we would airplay through the Apple TV onto the
  screen. The possibilities are endless for a system like this in our gymnasium. We would greatly appreciate your help in funding our project and
  sharing it with your friends and family.  We look forward to all the
  benefits these learning tools will provide all students at Chehalem.
  We are excited to partner with you to accomplish our goals. Thank you
  for all you do to support student growth and learning. The money would be split for the two items needed: $350 for a rear facing projector screen $150 towards an Apple TV.",https://fundrazr.com/Fully_Loaded_Movement
"7,635",Health Care for The School of Hope,U.S. Dollar,,of $6.1k goal,55,"My name is Manichanh, I am a part of a small group of health care
  workers whom are passionate about our global community and improving
  the lives of others. In addition to providing services locally, we
  also travel to one of the poorest neighborhoods in Guatemala where we
  support The School of Hope through Education for the Children. http://www.eftc.org.uk/our-work We strive to better communities by empowering those disadvantaged. On
  September 29th, 2016, our group will be traveling to Jocotenango,
  Guatemala to support this sustainable program that is changing
  outcomes for hundreds of children. We are covering our travel and all
  associated expenses. We support this school and local clinics who
  provide additonal care to the surrounding community at large. We are
  working to strengthen community ties. We have worked and will continue
  to work with two local community clinics whom also aid this program. http://www.rekko.org/index_en.html http://www.buckner.org/our-work/guatemala On November 19tth, 2016 we are hosting a fundraiser at the Yakima
  Sports Center. We will be sharing our stories while hostng a silent
  auction and games. Please help us with this fundraiser that will
  enable hundreds of empoverished children obtain access to healthcare. We support children and their future. People (specifically children)
  are the best investment. We support Escuela Proyecto La Esperanza (The
  School of Hope) in Jocotenango, Guatemala because of their ideals and
  accomplishments. In order to improve a population you need empowerment
  and independence. The proven form has been education. This school provides that. Furthermore they understand that
  supporting a child whom faces countless socioeconomic and
  psychological barriers requires a holistic approach. What these
  children face on a near daily basis makes all of our life obstacles
  seem pity. The staff and volunteers here are committed. It's no secret that we
  hold teachers and social workers in the highest regard. The people
  here are an outstanding example of why we feel this way. They
  genuinely care and love the community in which they are improving.
  They sacrifice so much for others. This is a long term and sustainable
  commitment. They aren't going anywhere unless these socioeconomic
  issues are resolved. If you are able, please help us and help spread the word. Any and all
  help is greatly appreciated! Please contact me direclty with any
  questions or concerns. Attached below is our flyer and items to our
  growing lists of items to be presented at our silent auction! Best to you all! Manichanh Ratts Gift basket from the wonderful Heather at Lollihops! http://www.yakimahopcandy.com Gift certificate from super star Dr. Yami Lancaster's awesome
    practice! http://www.nourishyakima.com/about-me.html Gift certificate from the beautiful Alex at her salon! http://alexandrasonsecond.com Gift certificate from the loving Jennifer through her massage
    practice! https://www.facebook.com/ReNu-U-Massage-Studio-173177462290/ Gift basket full of skin care goodies from loving Laura Hoffert! https://www.rodanandfields.com Gift certicate for skin care products from the amazing Amber
    Francis! https://www.rodanandfields.com Custome made slimline pen and a bottle stopper through crafty
    Chris Joyce! https://www.etsy.com/shop/joycecustomdesigns Gift certificates for bicycle services valued at $65 each from the
  rad guys at Revolutoin Cycle! https://www.facebook.com/Revolution-Cycles-228604440350/ Awesome bottles made right in the USA donated by Liberty Bottles! http://www.libertybottles.com Voucher for a Ferrari or Lamborghini Driving Experience with The
  Motor Sport Lab. Choose between a Lamborghini Gallardo or a Ferrari
  360 Modena at either Emerald Downs Raceway or Portland Internatial
    Raceway. http://www.motorsportlab.com Cerficiate for a couples photo session from talented Lexi Crews! https://www.instagram.com/lexnicolephotography/ Gift certicate from the lucious Lincoln Avenue expresso! https://www.facebook.com/Lincoln-Ave-Espresso-104083722986955/ Membership from Pro-Motion Gym! http://pro-motionfunctionalfitness.com/free-seminar-floor-of-the-core/ Camelbak pack valued at $109 from Bearded Monkey in Yakima!
   (formerly named Valley Cycle) http://valleycyclingandfitness.com Gift basket from Hugo Perez and Helen Taylor. Partylite gift basket from Rebecca Brown. Scentsy gift from Therese Brown valued at $85 Fresh box of honeycrip apples from Doornink Fruit Ranch valued at $100. Purses from Taylor'd Footwear and Bonzis. Valued at $60 each. http://www.taylordfootwearwa.com/home.html https://www.facebook.com/atbonzis/ Authentic blanket, paintings, and coffee from Guatemala! Neon sign (valued at $350), mirror (valued at $150), and cooler/raft
  combo (valued at $75) donated by Roque Marichalar from Columbia
    Distributing! http://www.coldist.com/",https://fundrazr.com/e19iH6
135,Cannabis Therapeutics Certification,U.S. Dollar,,of $10k goal,7,"This year we are celebrating 15 years since the American
    Alliance for Medical Cannabis was founded. Dr. Jay Cavanaugh created
    AAMC to help patients and to educate health professionals, lawmakers
    and the general public about the therapeutic uses of Cannabis. We
    have come a long way since 2001. We now have AAMC Directors in 21
    States, and 26 States plus the District of Columbia have legal
    medical marijuana. The most common question patients ask is “Where can I find a
    doctor who can help me?” Most doctors have not had a chance to learn
    about medical cannabis. They didn’t learn about the endocannabinoid
    system in medical school and they are reluctant to talk about it. The American Alliance for Medical Cannabis is dedicated to
    helping patients. We need your support to increase our staff so that
    we can identify qualified health professionals and provide patients
    with quality medical care. By becoming AAMC certified clinics, health professionals will
    demonstrate that they are informed about the therapeutic use of
    Cannabis. AAMC is trusted by patients. We understand the needs of
    patients. Patients will know that they are being cared for by
    competent doctors. Patients have the right to talk about their use
    of Cannabis with people who know that it’s not just for fun. Our goal is to develop clinics where patients can get complete
    medical care from doctors who know how Cannabis helps. If you would
    like to help, please give AAMC a generous donation today. AAMC certified clinics provide: * Knowledgeable doctors and nurses * Cannabis is part of initial treatment plan when indicated. * Clinics are typical doctor's offices * Full service health care The goal is to develop clinics that have knowledgeable staff to
    deliver patient care.",https://fundrazr.com/MedicalCannabis
900,Chemonkey,U.S. Dollar,,of $25k goal,12,"Cancer is an illness that change the life of who is living
  it , and the people who is surround. Due to this pathology,
  the routine, habits and custom of the child and the family, are
  strongly altered. Chemonkey is a project for kids who are living chemotherapy process,
  during the investigation, we realized that there wasn't any
    guide that the parents could use to explain their kids what
  they were living or were about to live. This is a hard task to do,
  because they don't know how to do it and the proper words to use. The
  main aim of this project is to ensure the kid's emotional well-being,
  to improve his experience and also to prepare him, so that he can
  face, in a better way, all the process. Chemonkey works as a tool for explaining, by an optimistic way and
  with proper words, the treatment and the side effects of it. So kids
  could understand their illness. The main character of the book is a
  monkey, who already lived the treatment, it shares his experience and
  will be their new best friend, who will share all this time with them.
  It increases kid's well being and help them to say their feelings,
  what really matters during this time. (We tested the prototypes with three kids, in all of them
    increased their self esteem , some of them believed that if her monkey could do it, she could
    too. They became brave and stop cover their eyes because of the
    needles. Also, it helps to the parents, because kids reflected
    themselves in the monkey, so if the monkey wants to sleep, they are
    trying to say that they're tired, so that is really helpful for the
    parents to know the emotions of their child) Please consider giving a donation to this project, any amount will
  help. Whether you can give or not, please share this widely with
  friends on facebook, twitter, e-mail, or any other social media. The more people who see this project, more kids will be
  happy - developing physical, emotional, spiritual, mental and
  social strength in the kids who receive this kit. The monkey hangs in their neck and chest, so it protects their port.",https://fundrazr.com/chemonkey
"15,469",Ride to Give- Flash Ironman Fundraiser for Stephen,U.S. Dollar,,of $15k goal,921,"On Sunday, September 24th Team Ride to Give and Team Boom will be participating in Ironman 70.3 Augusta in Augusta , GA Kevin Baxter 1130 Austin Marshall 101 Bill Halstead 102 Stacy Hughes Halstead Team Boom 4019 Larry Daniel Hughes Team Boom 4019 Crystal Condon Team Boom - 4019 David Nazaroff Ride To Give 3.0 4065 Sarah J. Keeney Ride To Give 3.0 4065 Kelly Meredith Ride To Give 3.0 4065 George Abrams 1108 Erik and Patty Heine of Oklahoma City, OK were excited to welcome
  their first child, a son Stephen, in 2007. After he was born, the
  Heines observed Stephen had broad thumbs and toes, which they found
  odd but endearing. He also had a LOT of hair! From birth, Stephen
  struggled with feeding which caused him to have trouble gaining
  weight. It was frustrating, but they chalked it up to reflux and enjoy
  their sweet new baby. As he grew, Stephen hit his milestones on time, but always at the
  late end of the ""normal"" range. When Stephen was nine months
  old, he had hernia surgery, which led to the discovery of a heart
  murmur and a kidney abnormality. Following surgery, Stephen's physical
  development stalled, and at one year old, he was referred for Early
  Intervention for therapies. There were still lingering
    questions about his health issues, and after additional testing,
    Stephen was diagnosed with Rubinstein Taybi Syndrome in
    May of 2008. Rubinstein Taybi Syndrome , a
  genetic disorder which affects approximately 1:250,000 births, is
  characterized by short stature, moderate to severe intellectual
  disability, distinctive facial features, and broad thumbs and first
  toes. Additional features of the disorder can include eye
  abnormalities, heart and kidney defects, dental problems, and obesity.
  These signs and symptoms vary among affected individuals. People with
  this condition have an increased risk of developing noncancerous and
  cancerous tumors, including certain kinds of brain tumors. Cancer of
  blood-forming tissue (leukemia) also occurs more frequently in people
  with Rubinstein Taybi syndrome. Infants born with this severe form of
  the disorder usually survive only into early childhood. Thankfully Stephen’s overall health has balanced out, and he
    is a happy and thriving 4th grader. Currently, Stephen receives private physical and occupational
  therapies, as well as physical, occupational, and speech therapy in
  his school setting.  To meet his goals of independence as an adult,
  Stephen spends approximately 3/4 of his school day with his typically
  developing peers, in the regular education classroom. Also, he has
  difficulty communicating verbally, so he uses Proloquo2Go software on an iPad
  mini to communicate. Doctors have not given the Heines a timeline as to what they should
  expect with Stephen, so they take everything one day at a time.
  They're determined to not let their child's disability or illness keep
  them from doing the things they love and find a way to adapt and make
  that activity possible. Erik is an avid runner, and for years it has
  been an activity he can share with Stephen. Up until recently, they
  have been able to use a traditional running stroller which Stephen has
  now out grown and is not 100% safe for him. After much research, Eric
  found the Blade at www.hoytrunningchairs.com . Hoyt Running Chairs designs and
    manufactures state-of-the-art racing chairs for individuals with
    disabilities. As a subdivision of Southbridge Tool &
    Manufacturing , they are able to custom build each chair to the
    comfort and needs of both the rider and the runner. They pride
    themselves on getting to know their clients and providing them with
    the ultimate racing experience. Mike Didonato , the president of Southbridge
    Tool & Manufacturing first heard the story of Rick and Dick Hoyt in 2009. Dick Hoyt has pushed his son Rick,
      who was diagnosed a spastic quadriplegic with cerebral palsy after
      his birth in 1962, in over 1,000 races including marathons,
      triathlons, and 6 Ironman races. Their story inspired Mike,
    and a few months later he happened to meet Dick Hoyt at a local
    grocery store. Mike mentioned his family’s manufacturing company and
    offered to fix Rick’s chair if needed. The next year, Dick Hoyt
    showed up at Southbridge Tool and Manufacturing and asked if a brand
    new chair could be built for Rick because he was very uncomfortable
    in his original chair. The Signature was built in time for the Hoyts to compete in the 2010 Boston Marathon . The chair was
    beautifully built for comfort, speed, and maneuverability. Soon,
    other teams and families began asking for a chair. In 2014, Mike was
    approached by Nick Sotar , a retired bicycle shop owner, who
    admired The Signature but had some ideas to improve the design. Nick
    presented Mike with a design for a revolutionary new racing chair
    called The Blade , which is easily
    disassembled and can be shipped in a bike box. After Stephen was diagnosed with Rubinstein Taybi syndrome at 18
  months old, it took almost seven years before they were able to get
  him on non-income-based Medicaid. As a result, the Heines ate through
  their entire family savings paying for medical bills and therapies
  even with insurance. Unfortunately, the cost of a Blade racing
    wheelchair is approximately 10% of Erik’s gross annual
  salary as a Professor of Music at Oklahoma City University ,
  and not something they have sitting around or in a savings account.
  The Blade has not been deemed ""essential"" by their
  insurance. However, Stephen's Occupational and Physical Therapists
  both believe that a chair that he can use for over a decade IS
  essential to helping him relieve stress and participate in an outdoor
  activity like his typically-developing peers. Ride to Give agrees and wants to provide Stephen with a custom
    built Blade that will fit him perfectly and will be used for years
    to come. Our mission at RTG is to turn athletic ability into
  fundraising power for families with children who are disabled,
  injured, or ill.  We think Stephen and Erik will make fantastic
  ambassadors for Team Ride to Give and we can’t wait to see them race
  for the first time with their new Hoyt Running Chair . Please help us purchase the
  Blade running chair and accessories for Stephen by making a tax
  deductible donation to Ride to Give. At this time, Stephen does not have a Facebook Page of his
    own, so follow Ride to GIve on Facebook for all updates. Contributions are solicited with the understanding that the
      donee organization (Ride to Give, 501c3 tax ID 46-2952297) has complete discretion and control over the use of all donated funds. Questions about how your donation is used can be answered by clicking here. Please visit Ride to Give on the web at www.ridetogive.com or on Facebook at www.facebook.com/ridetogive .",https://fund.ridetogive.com/e1HGb1
"17,275",Operation Walk USA,,,,,"Operation Walk USA is a non-profit medical humanitarian organization that provides free hip or knee replacement surgeries for these patients. Operation Walk USA targets patients – US citizens and permanent residents – who do not qualify for government assistance programs. Harnessing a national network of volunteer hospitals, physicians, nurses, physical therapists and others, Operation Walk USA is committed to helping those in need by restoring their mobility, self dignity, productivity, and helping them return to their social world.",https://fundrazr.com/9OsT5
